,id,Coin_Name,Symbol,num_market_pairs,Launch_Date,Circulating_supply,Total_supply,cmc_rank,last_updated,Price,Volume_24h,Volume_change_24h,Percent_change_1h,Percent_change_24h,Percent_change_7d,Percent_change_30d,Percent_change_60d,Percent_change_90d,Market_cap,Market_cap_dominance,Fully_diluted_market_cap,Last_updated
0,1,Bitcoin,BTC,9119,2013-04-28 00:00:00,18941662.0,18941662.0,1,2022-01-28T01:53:00.000Z,36889.64085617574,25035110205.13567,-18.2073,-0.70218085,1.82413667,-7.56916898,-22.93944185,-35.99820738,-40.55081807,698751108399.0715,42.1125,774682457979.69,2022-01-28 01:53:00
1,1027,Ethereum,ETH,5481,2015-08-07 00:00:00,119339225.9365,119339225.9365,2,2022-01-28T01:53:00.000Z,2397.7972561678757,15729764386.861355,-25.6714,-0.89893096,-0.82976618,-17.90261788,-37.08028252,-44.63006718,-45.13913094,286151268503.7379,17.249,286151268503.74,2022-01-28 01:53:00
2,825,Tether,USDT,27082,2015-02-25 00:00:00,78168627985.9358,80074893058.70424,3,2022-01-28T01:53:00.000Z,1.0002831554207143,53526380900.78144,-24.1203,0.00679385,-0.03522931,0.01803424,-0.00855298,-0.02063268,0.03302882,78190761856.67982,4.712,80097566698.74,2022-01-28 01:53:00
3,1839,BNB,BNB,657,2017-07-25 00:00:00,165116760.89,165116760.89,4,2022-01-28T01:53:00.000Z,384.93119267845566,1946848247.0533388,-11.2832,-1.4365635,3.91722395,-10.07220242,-28.29023934,-37.16420735,-27.97826151,63558591700.59108,3.8302,63558591358.0,2022-01-28 01:53:00
4,3408,USD Coin,USDC,2889,2018-10-08 00:00:00,49468961418.020065,49468961418.020065,5,2022-01-28T01:53:00.000Z,0.99949917890387,4953919592.333166,-1.5028,-0.00951176,-0.05675723,0.02318065,-0.08675226,-0.02569557,-0.02448634,49444186318.53828,2.9797,49444186318.54,2022-01-28 01:53:00
5,2010,Cardano,ADA,360,2017-10-01 00:00:00,33553053411.232,34027415098.893,6,2022-01-28T01:53:00.000Z,1.0324378105422958,1482339098.410574,-38.7494,-0.9235253,-0.81573278,-15.78459317,-26.75664669,-35.57390381,-48.38093725,34641441000.90107,2.0878,46459701474.4,2022-01-28 01:53:00
6,52,XRP,XRP,676,2013-08-04 00:00:00,47736918345.0,99989798601.0,7,2022-01-28T01:53:00.000Z,0.60284963665792,1551406436.1595144,-31.6132,-0.75784072,-0.32713965,-14.57057285,-30.05185689,-38.20492662,-43.91573876,28778183879.452045,1.7347,60284963665.79,2022-01-28 01:53:00
7,5426,Solana,SOL,244,2020-04-10 00:00:00,314966940.2357798,511616946.142289,8,2022-01-28T01:53:00.000Z,89.76990209532424,2472578634.6474175,-21.9362,0.66987456,0.00922078,-26.75033072,-49.8918842,-55.44135267,-54.59669148,28274551388.229797,1.7039,45927803165.5,2022-01-28 01:53:00
8,4172,Terra,LUNA,141,2019-07-26 00:00:00,400945118.7523655,818702018.563827,9,2022-01-28T01:53:00.000Z,53.06853220842374,2316660545.3113937,-18.6811,-0.92739311,-6.91418069,-30.62480358,-39.12619458,6.20997882,19.11104446,21277568948.32019,1.2824,43447314441.26,2022-01-28 01:53:00
9,74,Dogecoin,DOGE,444,2013-12-15 00:00:00,132670764299.89409,132670764299.89409,10,2022-01-28T01:53:00.000Z,0.13999512595000968,586534784.5562886,-52.1651,-0.79802483,-0.90588253,-7.92794985,-20.55209814,-32.2989386,-50.76194931,18573260358.04772,1.1193,18573260358.05,2022-01-28 01:53:00
